00000000000843a0,tiedarrgetfn
0000000000061ba4,acquire_pgrp
000000000004ef80,hcomsearch
000000000006ac4c,deleteconddef
00000000000b98e0,freearray
00000000000990e8,countprompt
00000000000bae20,strsfx
0000000000019580,_start
0000000000084820,errnosetfn
000000000006d430,addhookdef
000000000003f960,getoutput
0000000000081340,freeparamnode
0000000000080350,issetvar
000000000003ecc4,getproc
00000000000ae120,is_cond_binary_op
0000000000082140,underscoregetfn
000000000006472c,update_job
000000000008bd2c,parse_event
00000000000819e0,zputenv
0000000000082100,strvargetfn
0000000000041880,tokenize
00000000000b5bc0,preprompt
00000000000bd2e0,dquotedztrdup
0000000000096dd0,patcompile
00000000000820c8,strgetfn
00000000000ba240,ztrcmp
000000000009508c,patgetglobflags
000000000005a380,get_clktck
00000000000413c0,is_anonymous_function_name
00000000000b9920,equalsplit
0000000000026640,setlimits
00000000000ae820,settyinfo
000000000006a888,switch_heaps
00000000000988c0,mb_patmatchindex
000000000006de80,parsestr
00000000000af5a0,ztrftime
000000000005ab2c,lex_context_restore
00000000000bcf60,zreaddir
0000000000098f00,haswilds
0000000000025ed0,testlex
000000000005a144,hasprocs
00000000000aeac0,redup
000000000005988c,get_usage
0000000000050da8,scanmatchtable
00000000000ae0c0,chuck
0000000000032620,zcontext_restore
0000000000069ecc,linknodebydatum
0000000000050320,hist_context_save
000000000006a6e8,zsfree
0000000000084c80,wordcharssetfn
0000000000099b40,signal_unblock
00000000000aef30,zstrtoul_underscore
0000000000060ce0,expandjobtab
000000000003ec24,execstring
00000000000ba180,unmeta_one
0000000000088b44,setaparam
0000000000034e8c,quote_tokenized_output
000000000005e668,source
00000000000bda40,nicedupstring
000000000005a3c8,havefiles
0000000000041b60,execrestore
00000000000b8760,modify
000000000008e000,ecgetarr
00000000000b676c,gettempfile
000000000005a9ec,check_cursh_sig
0000000000030960,cond_str
0000000000069ae0,zshlex_raw_mark
0000000000034e20,isrelative
0000000000089a00,assignnparam
000000000008d62c,ecrawstr
0000000000041764,file_type
0000000000081580,floatsecondsgetfn
00000000000329c4,parse_string
00000000000a12cc,promptexpand
0000000000052aa0,chabspath
000000000005c908,init_jobs
00000000000bb600,hmkarray
000000000002ed00,bin_read
00000000000ba760,mb_metastrlenend
0000000000027fe0,bin_whence
00000000000ae8e0,addlockfd
000000000005bb28,getjob
0000000000077908,deleteparamtable
0000000000089750,setstrvalue
000000000008d724,clear_shiftstate
000000000004cd20,gethashnode
00000000000757e0,execrepeat
0000000000046c20,zglob
0000000000098800,patmatchlen
000000000004ee80,hwrep
000000000002d708,zgettime
00000000000bbbe0,unmeta
0000000000057dc0,hbegin
0000000000073c60,getconddef
0000000000093e0c,try_dump_file
000000000005984c,tccap_get_name
00000000000418a0,shtokenize
00000000000ae4c0,nicechar
000000000003f2a0,readoutput
0000000000098e00,restorepatterndisables
00000000000944e8,try_source_file
0000000000069b80,uinsertlinknode
000000000009f2d0,pattry
0000000000069e40,rolllist
0000000000083340,getstrvalue
00000000000bf010,zbeep
000000000002dc64,bin_break
0000000000019fd0,execbuiltin
0000000000059d00,noop_function
00000000000ba9a0,mb_charlenconv_r
00000000000812e0,tiedarrunsetfn
0000000000076d50,dashgetfn
