000000000000e4c0,get_default_context@@LIBSELINUX_1.0
000000000000c7a0,set_selinuxmnt@@LIBSELINUX_1.0
0000000000009460,selinux_set_callback@@LIBSELINUX_1.0
0000000000018e60,lgetfilecon@@LIBSELINUX_1.0
0000000000018a80,selinux_booleans_subs_path@@LIBSELINUX_1.0
0000000000015f60,matchpathcon_filespec_eval@@LIBSELINUX_1.0
00000000000194e0,getkeycreatecon@@LIBSELINUX_1.0
0000000000017e70,selinux_current_policy_path@@LIBSELINUX_1.0
000000000001e820,selinux_status_close@@LIBSELINUX_1.0
00000000000184e0,selinux_netfilter_context_path@@LIBSELINUX_1.0
00000000000085e0,avc_netlink_open@@LIBSELINUX_1.0
0000000000009d84,security_compute_member_raw@@LIBSELINUX_1.0
000000000001efe4,selinux_raw_context_to_color@@LIBSELINUX_1.0
000000000000d2c0,fsetfilecon@@LIBSELINUX_1.0
000000000001f6e4,string_to_av_perm@@LIBSELINUX_1.0
00000000000081ac,avc_cleanup@@LIBSELINUX_1.0
000000000000d920,security_compute_create_name@@LIBSELINUX_1.0
000000000000d7c0,avc_sid_to_context@@LIBSELINUX_1.0
0000000000019680,getpidprevcon@@LIBSELINUX_3.5
000000000001cec0,selinux_restorecon_parallel@@LIBSELINUX_3.4
00000000000183c0,selinux_translations_path@@LIBSELINUX_1.0
0000000000017100,getcon_raw@@LIBSELINUX_1.0
000000000000ccc8,selabel_stats@@LIBSELINUX_1.0
000000000000f32c,avc_has_perm_noaudit@@LIBSELINUX_1.0
0000000000012980,selinux_file_context_subs_path@@LIBSELINUX_1.0
0000000000007d80,avc_sid_to_context_raw@@LIBSELINUX_1.0
0000000000017280,setfscreatecon_raw@@LIBSELINUX_1.0
0000000000013760,lgetfilecon_raw@@LIBSELINUX_1.0
000000000000a668,context_free@@LIBSELINUX_1.0
0000000000019f8c,selinux_set_mapping@@LIBSELINUX_1.0
0000000000019b90,lsetfilecon@@LIBSELINUX_1.0
0000000000015cd0,set_matchpathcon_flags@@LIBSELINUX_1.0
0000000000018960,selinux_snapperd_contexts_path@@LIBSELINUX_1.0
0000000000019d80,setfscreatecon@@LIBSELINUX_1.0
0000000000021a80,getseuserbyname@@LIBSELINUX_1.0
00000000000189f0,selinux_systemd_contexts_path@@LIBSELINUX_1.0
0000000000008860,security_get_boolean_names@@LIBSELINUX_1.0
00000000000179c4,selinux_getpolicytype@@LIBSELINUX_1.0
0000000000007e08,sidget@@LIBSELINUX_1.0
0000000000018b10,selinux_sepgsql_context_path@@LIBSELINUX_1.0
000000000000fd20,selinux_check_access@@LIBSELINUX_1.0
0000000000021324,selinux_status_deny_unknown@@LIBSELINUX_1.0
0000000000018210,selinux_booleans_path@@LIBSELINUX_1.0
00000000000187b0,selinux_lxc_contexts_path@@LIBSELINUX_1.0
0000000000021600,selinux_status_open@@LIBSELINUX_1.0
0000000000017144,setcon_raw@@LIBSELINUX_1.0
0000000000021640,setexecfilecon@@LIBSELINUX_1.0
0000000000008a80,selinux_boolean_sub@@LIBSELINUX_1.0
000000000000e200,get_default_context_with_role@@LIBSELINUX_1.0
000000000000d050,security_check_context@@LIBSELINUX_1.0
